Mvir[M_sun/h] sigma(M,0) D(z) D(z_f,peak) c_vir
1.813000e+12 1.949591 1.000000 0.590225 10.176507
1.813000e+12 1.949591 1.000000 0.590225 10.176507
1.803000e+12 1.951235 1.000000 0.590082 10.181874
1.803000e+12 1.951235 1.000000 0.590082 10.181874
1.794000e+12 1.952723 1.000000 0.589952 10.186730
1.794000e+12 1.952723 1.000000 0.589952 10.186730
1.792000e+12 1.953055 1.000000 0.589923 10.187814
1.792000e+12 1.953055 1.000000 0.589923 10.187814
1.792000e+12 1.953055 1.000000 0.589923 10.187814
1.788000e+12 1.953720 1.000000 0.589865 10.189984
1.786000e+12 1.954053 1.000000 0.589836 10.191070
1.786000e+12 1.954053 1.000000 0.589836 10.191070
1.786000e+12 1.954053 1.000000 0.589836 10.191070
1.786000e+12 1.954053 1.000000 0.589836 10.191070
1.784000e+12 1.954386 1.000000 0.589807 10.192157
1.784000e+12 1.954386 1.000000 0.589807 10.192157
1.784000e+12 1.954386 1.000000 0.589807 10.192157
1.780000e+12 1.955054 1.000000 0.589749 10.194336
1.778000e+12 1.955389 1.000000 0.589720 10.195429
1.776000e+12 1.955724 1.000000 0.589691 10.196522
1.774000e+12 1.956059 1.000000 0.589662 10.197614
1.772000e+12 1.956395 1.000000 0.589633 10.198710
1.770000e+12 1.956731 1.000000 0.589603 10.199806
1.770000e+12 1.956731 1.000000 0.589603 10.199806
1.768000e+12 1.957068 1.000000 0.589574 10.200905
1.768000e+12 1.957068 1.000000 0.589574 10.200905
1.765000e+12 1.957573 1.000000 0.589530 10.202552
1.763000e+12 1.957911 1.000000 0.589501 10.203654
1.761000e+12 1.958249 1.000000 0.589471 10.204756
1.759000e+12 1.958587 1.000000 0.589442 10.205858
1.757000e+12 1.958926 1.000000 0.589413 10.206963
1.757000e+12 1.958926 1.000000 0.589413 10.206963
1.755000e+12 1.959266 1.000000 0.589383 10.208072
1.753000e+12 1.959605 1.000000 0.589354 10.209177
1.751000e+12 1.959945 1.000000 0.589324 10.210285
1.751000e+12 1.959945 1.000000 0.589324 10.210285
1.747000e+12 1.960627 1.000000 0.589265 10.212508
1.743000e+12 1.961310 1.000000 0.589206 10.214734
1.741000e+12 1.961652 1.000000 0.589176 10.215848
1.739000e+12 1.961995 1.000000 0.589146 10.216966
1.735000e+12 1.962681 1.000000 0.589087 10.219201
1.735000e+12 1.962681 1.000000 0.589087 10.219201
1.735000e+12 1.962681 1.000000 0.589087 10.219201
1.732000e+12 1.963197 1.000000 0.589042 10.220882
1.730000e+12 1.963542 1.000000 0.589012 10.222006
1.728000e+12 1.963887 1.000000 0.588983 10.223130
1.726000e+12 1.964232 1.000000 0.588953 10.224254
1.726000e+12 1.964232 1.000000 0.588953 10.224254
1.724000e+12 1.964578 1.000000 0.588923 10.225381
1.724000e+12 1.964578 1.000000 0.588923 10.225381
1.722000e+12 1.964924 1.000000 0.588893 10.226508
1.722000e+12 1.964924 1.000000 0.588893 10.226508
1.720000e+12 1.965271 1.000000 0.588863 10.227638
1.718000e+12 1.965618 1.000000 0.588833 10.228768
1.718000e+12 1.965618 1.000000 0.588833 10.228768
1.718000e+12 1.965618 1.000000 0.588833 10.228768
1.716000e+12 1.965965 1.000000 0.588803 10.229898
1.716000e+12 1.965965 1.000000 0.588803 10.229898
1.714000e+12 1.966313 1.000000 0.588773 10.231031
1.714000e+12 1.966313 1.000000 0.588773 10.231031
1.714000e+12 1.966313 1.000000 0.588773 10.231031
1.714000e+12 1.966313 1.000000 0.588773 10.231031
1.712000e+12 1.966662 1.000000 0.588742 10.232168
1.708000e+12 1.967360 1.000000 0.588682 10.234440
1.708000e+12 1.967360 1.000000 0.588682 10.234440
1.706000e+12 1.967710 1.000000 0.588652 10.235580
1.701000e+12 1.968586 1.000000 0.588576 10.238432
1.701000e+12 1.968586 1.000000 0.588576 10.238432
1.699000e+12 1.968937 1.000000 0.588546 10.239574
1.699000e+12 1.968937 1.000000 0.588546 10.239574
1.697000e+12 1.969289 1.000000 0.588515 10.240720
1.697000e+12 1.969289 1.000000 0.588515 10.240720
1.697000e+12 1.969289 1.000000 0.588515 10.240720
1.695000e+12 1.969641 1.000000 0.588485 10.241865
1.693000e+12 1.969993 1.000000 0.588454 10.243011
1.691000e+12 1.970346 1.000000 0.588424 10.244160
1.691000e+12 1.970346 1.000000 0.588424 10.244160
1.689000e+12 1.970700 1.000000 0.588393 10.245311
1.689000e+12 1.970700 1.000000 0.588393 10.245311
1.689000e+12 1.970700 1.000000 0.588393 10.245311
1.689000e+12 1.970700 1.000000 0.588393 10.245311
1.687000e+12 1.971054 1.000000 0.588363 10.246463
1.687000e+12 1.971054 1.000000 0.588363 10.246463
1.687000e+12 1.971054 1.000000 0.588363 10.246463
1.685000e+12 1.971408 1.000000 0.588332 10.247615
1.683000e+12 1.971763 1.000000 0.588302 10.248770
1.683000e+12 1.971763 1.000000 0.588302 10.248770
1.681000e+12 1.972118 1.000000 0.588271 10.249925
1.679000e+12 1.972474 1.000000 0.588240 10.251083
1.677000e+12 1.972830 1.000000 0.588210 10.252241
1.677000e+12 1.972830 1.000000 0.588210 10.252241
1.675000e+12 1.973187 1.000000 0.588179 10.253402
1.675000e+12 1.973187 1.000000 0.588179 10.253402
1.675000e+12 1.973187 1.000000 0.588179 10.253402
1.672000e+12 1.973723 1.000000 0.588133 10.255146
1.670000e+12 1.974080 1.000000 0.588102 10.256307
1.666000e+12 1.974797 1.000000 0.588040 10.258638
1.666000e+12 1.974797 1.000000 0.588040 10.258638
1.666000e+12 1.974797 1.000000 0.588040 10.258638
1.662000e+12 1.975516 1.000000 0.587978 10.260976
1.662000e+12 1.975516 1.000000 0.587978 10.260976
1.662000e+12 1.975516 1.000000 0.587978 10.260976
1.662000e+12 1.975516 1.000000 0.587978 10.260976
1.660000e+12 1.975876 1.000000 0.587947 10.262147
1.660000e+12 1.975876 1.000000 0.587947 10.262147
1.658000e+12 1.976237 1.000000 0.587916 10.263320
1.654000e+12 1.976959 1.000000 0.587854 10.265667
1.654000e+12 1.976959 1.000000 0.587854 10.265667
1.652000e+12 1.977321 1.000000 0.587823 10.266844
1.652000e+12 1.977321 1.000000 0.587823 10.266844
1.650000e+12 1.977683 1.000000 0.587791 10.268021
1.650000e+12 1.977683 1.000000 0.587791 10.268021
1.650000e+12 1.977683 1.000000 0.587791 10.268021
1.650000e+12 1.977683 1.000000 0.587791 10.268021
1.648000e+12 1.978046 1.000000 0.587760 10.269201
1.644000e+12 1.978774 1.000000 0.587697 10.271566
1.644000e+12 1.978774 1.000000 0.587697 10.271566
1.644000e+12 1.978774 1.000000 0.587697 10.271566
1.641000e+12 1.979320 1.000000 0.587651 10.273341
1.639000e+12 1.979685 1.000000 0.587619 10.274527
1.635000e+12 1.980417 1.000000 0.587556 10.276905
1.633000e+12 1.980783 1.000000 0.587525 10.278094
1.629000e+12 1.981518 1.000000 0.587462 10.280482
1.627000e+12 1.981886 1.000000 0.587430 10.281677
1.627000e+12 1.981886 1.000000 0.587430 10.281677
1.623000e+12 1.982623 1.000000 0.587367 10.284070
1.623000e+12 1.982623 1.000000 0.587367 10.284070
1.623000e+12 1.982623 1.000000 0.587367 10.284070
1.621000e+12 1.982992 1.000000 0.587335 10.285269
1.617000e+12 1.983732 1.000000 0.587271 10.287672
1.617000e+12 1.983732 1.000000 0.587271 10.287672
1.617000e+12 1.983732 1.000000 0.587271 10.287672
1.613000e+12 1.984475 1.000000 0.587208 10.290084
1.613000e+12 1.984475 1.000000 0.587208 10.290084
1.613000e+12 1.984475 1.000000 0.587208 10.290084
1.611000e+12 1.984846 1.000000 0.587176 10.291289
1.608000e+12 1.985405 1.000000 0.587128 10.293103
1.608000e+12 1.985405 1.000000 0.587128 10.293103
1.604000e+12 1.986152 1.000000 0.587064 10.295528
1.602000e+12 1.986526 1.000000 0.587032 10.296742
1.600000e+12 1.986900 1.000000 0.587000 10.297956
1.600000e+12 1.986900 1.000000 0.587000 10.297956
1.600000e+12 1.986900 1.000000 0.587000 10.297956
1.600000e+12 1.986900 1.000000 0.587000 10.297956
1.598000e+12 1.987275 1.000000 0.586968 10.299173
1.596000e+12 1.987651 1.000000 0.586935 10.300393
1.596000e+12 1.987651 1.000000 0.586935 10.300393
1.596000e+12 1.987651 1.000000 0.586935 10.300393
1.594000e+12 1.988027 1.000000 0.586903 10.301613
1.594000e+12 1.988027 1.000000 0.586903 10.301613
1.594000e+12 1.988027 1.000000 0.586903 10.301613
1.592000e+12 1.988403 1.000000 0.586871 10.302833
1.590000e+12 1.988781 1.000000 0.586839 10.304059
1.588000e+12 1.989158 1.000000 0.586806 10.305283
1.588000e+12 1.989158 1.000000 0.586806 10.305283
1.586000e+12 1.989536 1.000000 0.586774 10.306509
1.586000e+12 1.989536 1.000000 0.586774 10.306509
1.586000e+12 1.989536 1.000000 0.586774 10.306509
1.586000e+12 1.989536 1.000000 0.586774 10.306509
1.584000e+12 1.989915 1.000000 0.586741 10.307738
1.577000e+12 1.991244 1.000000 0.586628 10.312049
1.577000e+12 1.991244 1.000000 0.586628 10.312049
1.575000e+12 1.991625 1.000000 0.586595 10.313284
1.575000e+12 1.991625 1.000000 0.586595 10.313284
1.573000e+12 1.992006 1.000000 0.586563 10.314520
1.573000e+12 1.992006 1.000000 0.586563 10.314520
1.571000e+12 1.992388 1.000000 0.586530 10.315759
1.569000e+12 1.992771 1.000000 0.586497 10.317000
1.569000e+12 1.992771 1.000000 0.586497 10.317000
1.569000e+12 1.992771 1.000000 0.586497 10.317000
1.569000e+12 1.992771 1.000000 0.586497 10.317000
1.569000e+12 1.992771 1.000000 0.586497 10.317000
1.567000e+12 1.993154 1.000000 0.586464 10.318242
1.567000e+12 1.993154 1.000000 0.586464 10.318242
1.565000e+12 1.993537 1.000000 0.586432 10.319484
1.563000e+12 1.993921 1.000000 0.586399 10.320729
1.561000e+12 1.994306 1.000000 0.586366 10.321977
1.559000e+12 1.994691 1.000000 0.586333 10.323225
1.559000e+12 1.994691 1.000000 0.586333 10.323225
1.557000e+12 1.995077 1.000000 0.586300 10.324476
1.557000e+12 1.995077 1.000000 0.586300 10.324476
1.557000e+12 1.995077 1.000000 0.586300 10.324476
1.557000e+12 1.995077 1.000000 0.586300 10.324476
1.555000e+12 1.995463 1.000000 0.586267 10.325727
1.555000e+12 1.995463 1.000000 0.586267 10.325727
1.553000e+12 1.995849 1.000000 0.586234 10.326978
1.553000e+12 1.995849 1.000000 0.586234 10.326978
1.550000e+12 1.996431 1.000000 0.586185 10.328864
1.546000e+12 1.997207 1.000000 0.586118 10.331378
1.544000e+12 1.997596 1.000000 0.586085 10.332638
1.542000e+12 1.997986 1.000000 0.586052 10.333902
1.542000e+12 1.997986 1.000000 0.586052 10.333902
1.542000e+12 1.997986 1.000000 0.586052 10.333902
1.540000e+12 1.998376 1.000000 0.586019 10.335165
1.540000e+12 1.998376 1.000000 0.586019 10.335165
1.538000e+12 1.998767 1.000000 0.585985 10.336432
1.538000e+12 1.998767 1.000000 0.585985 10.336432
1.538000e+12 1.998767 1.000000 0.585985 10.336432
1.536000e+12 1.999158 1.000000 0.585952 10.337698
1.534000e+12 1.999550 1.000000 0.585919 10.338968
1.532000e+12 1.999942 1.000000 0.585885 10.340238
1.532000e+12 1.999942 1.000000 0.585885 10.340238
1.532000e+12 1.999942 1.000000 0.585885 10.340238
1.532000e+12 1.999942 1.000000 0.585885 10.340238
1.530000e+12 2.000335 1.000000 0.585852 10.341510
1.530000e+12 2.000335 1.000000 0.585852 10.341510
1.530000e+12 2.000335 1.000000 0.585852 10.341510
1.528000e+12 2.000729 1.000000 0.585818 10.342786
1.528000e+12 2.000729 1.000000 0.585818 10.342786
1.524000e+12 2.001517 1.000000 0.585751 10.345338
1.524000e+12 2.001517 1.000000 0.585751 10.345338
1.522000e+12 2.001912 1.000000 0.585717 10.346616
1.520000e+12 2.002308 1.000000 0.585684 10.347898
1.517000e+12 2.002903 1.000000 0.585633 10.349825
1.517000e+12 2.002903 1.000000 0.585633 10.349825
1.515000e+12 2.003300 1.000000 0.585599 10.351110
1.513000e+12 2.003697 1.000000 0.585565 10.352395
1.513000e+12 2.003697 1.000000 0.585565 10.352395
1.513000e+12 2.003697 1.000000 0.585565 10.352395
1.513000e+12 2.003697 1.000000 0.585565 10.352395
1.511000e+12 2.004096 1.000000 0.585532 10.353686
1.509000e+12 2.004494 1.000000 0.585498 10.354974
1.507000e+12 2.004894 1.000000 0.585464 10.356268
1.503000e+12 2.005694 1.000000 0.585396 10.358857
1.503000e+12 2.005694 1.000000 0.585396 10.358857
1.503000e+12 2.005694 1.000000 0.585396 10.358857
1.503000e+12 2.005694 1.000000 0.585396 10.358857
1.501000e+12 2.006095 1.000000 0.585362 10.360154
1.501000e+12 2.006095 1.000000 0.585362 10.360154
1.501000e+12 2.006095 1.000000 0.585362 10.360154
1.501000e+12 2.006095 1.000000 0.585362 10.360154
1.497000e+12 2.006899 1.000000 0.585293 10.362755
1.495000e+12 2.007302 1.000000 0.585259 10.364059
1.493000e+12 2.007705 1.000000 0.585225 10.365363
1.493000e+12 2.007705 1.000000 0.585225 10.365363
1.491000e+12 2.008109 1.000000 0.585191 10.366669
1.491000e+12 2.008109 1.000000 0.585191 10.366669
1.491000e+12 2.008109 1.000000 0.585191 10.366669
1.491000e+12 2.008109 1.000000 0.585191 10.366669
1.491000e+12 2.008109 1.000000 0.585191 10.366669
1.489000e+12 2.008513 1.000000 0.585156 10.367976
1.489000e+12 2.008513 1.000000 0.585156 10.367976
1.489000e+12 2.008513 1.000000 0.585156 10.367976
1.486000e+12 2.009121 1.000000 0.585105 10.369942
1.486000e+12 2.009121 1.000000 0.585105 10.369942
1.484000e+12 2.009527 1.000000 0.585070 10.371255
1.484000e+12 2.009527 1.000000 0.585070 10.371255
1.482000e+12 2.009934 1.000000 0.585036 10.372571
1.482000e+12 2.009934 1.000000 0.585036 10.372571
1.480000e+12 2.010341 1.000000 0.585001 10.373887
1.480000e+12 2.010341 1.000000 0.585001 10.373887
1.480000e+12 2.010341 1.000000 0.585001 10.373887
1.478000e+12 2.010748 1.000000 0.584967 10.375203
1.478000e+12 2.010748 1.000000 0.584967 10.375203
1.478000e+12 2.010748 1.000000 0.584967 10.375203
1.476000e+12 2.011157 1.000000 0.584932 10.376525
1.476000e+12 2.011157 1.000000 0.584932 10.376525
1.476000e+12 2.011157 1.000000 0.584932 10.376525
1.474000e+12 2.011566 1.000000 0.584897 10.377847
1.474000e+12 2.011566 1.000000 0.584897 10.377847
1.474000e+12 2.011566 1.000000 0.584897 10.377847
1.472000e+12 2.011975 1.000000 0.584863 10.379169
1.470000e+12 2.012385 1.000000 0.584828 10.380494
1.470000e+12 2.012385 1.000000 0.584828 10.380494
1.464000e+12 2.013619 1.000000 0.584723 10.384482
1.464000e+12 2.013619 1.000000 0.584723 10.384482
1.464000e+12 2.013619 1.000000 0.584723 10.384482
1.459000e+12 2.014651 1.000000 0.584636 10.387817
1.459000e+12 2.014651 1.000000 0.584636 10.387817
1.459000e+12 2.014651 1.000000 0.584636 10.387817
1.455000e+12 2.015480 1.000000 0.584566 10.390495
1.453000e+12 2.015895 1.000000 0.584531 10.391835
1.453000e+12 2.015895 1.000000 0.584531 10.391835
1.453000e+12 2.015895 1.000000 0.584531 10.391835
1.451000e+12 2.016311 1.000000 0.584495 10.393179
1.449000e+12 2.016727 1.000000 0.584460 10.394523
1.449000e+12 2.016727 1.000000 0.584460 10.394523
1.447000e+12 2.017144 1.000000 0.584425 10.395870
1.445000e+12 2.017562 1.000000 0.584390 10.397219
1.445000e+12 2.017562 1.000000 0.584390 10.397219
1.445000e+12 2.017562 1.000000 0.584390 10.397219
1.445000e+12 2.017562 1.000000 0.584390 10.397219
1.443000e+12 2.017980 1.000000 0.584354 10.398569
1.443000e+12 2.017980 1.000000 0.584354 10.398569
1.443000e+12 2.017980 1.000000 0.584354 10.398569
1.441000e+12 2.018399 1.000000 0.584319 10.399922
1.441000e+12 2.018399 1.000000 0.584319 10.399922
1.439000e+12 2.018818 1.000000 0.584284 10.401275
1.439000e+12 2.018818 1.000000 0.584284 10.401275
1.437000e+12 2.019239 1.000000 0.584248 10.402634
1.435000e+12 2.019659 1.000000 0.584212 10.403990
1.435000e+12 2.019659 1.000000 0.584212 10.403990
1.433000e+12 2.020081 1.000000 0.584177 10.405353
1.433000e+12 2.020081 1.000000 0.584177 10.405353
1.431000e+12 2.020503 1.000000 0.584141 10.406715
1.431000e+12 2.020503 1.000000 0.584141 10.406715
1.431000e+12 2.020503 1.000000 0.584141 10.406715
1.431000e+12 2.020503 1.000000 0.584141 10.406715
1.428000e+12 2.021137 1.000000 0.584088 10.408761
1.428000e+12 2.021137 1.000000 0.584088 10.408761
1.428000e+12 2.021137 1.000000 0.584088 10.408761
1.426000e+12 2.021561 1.000000 0.584052 10.410129
1.426000e+12 2.021561 1.000000 0.584052 10.410129
1.424000e+12 2.021985 1.000000 0.584016 10.411498
1.424000e+12 2.021985 1.000000 0.584016 10.411498
1.422000e+12 2.022410 1.000000 0.583980 10.412869
1.422000e+12 2.022410 1.000000 0.583980 10.412869
1.420000e+12 2.022835 1.000000 0.583944 10.414241
1.420000e+12 2.022835 1.000000 0.583944 10.414241
1.418000e+12 2.023262 1.000000 0.583908 10.415618
1.418000e+12 2.023262 1.000000 0.583908 10.415618
1.414000e+12 2.024116 1.000000 0.583836 10.418373
1.414000e+12 2.024116 1.000000 0.583836 10.418373
1.412000e+12 2.024544 1.000000 0.583800 10.419754
1.412000e+12 2.024544 1.000000 0.583800 10.419754
1.412000e+12 2.024544 1.000000 0.583800 10.419754
1.412000e+12 2.024544 1.000000 0.583800 10.419754
1.412000e+12 2.024544 1.000000 0.583800 10.419754
1.412000e+12 2.024544 1.000000 0.583800 10.419754
1.410000e+12 2.024973 1.000000 0.583764 10.421138
1.408000e+12 2.025402 1.000000 0.583728 10.422521
1.406000e+12 2.025832 1.000000 0.583692 10.423908
1.406000e+12 2.025832 1.000000 0.583692 10.423908
1.404000e+12 2.026263 1.000000 0.583656 10.425298
1.404000e+12 2.026263 1.000000 0.583656 10.425298
1.404000e+12 2.026263 1.000000 0.583656 10.425298
1.400000e+12 2.027126 1.000000 0.583583 10.428081
1.400000e+12 2.027126 1.000000 0.583583 10.428081
1.400000e+12 2.027126 1.000000 0.583583 10.428081
1.398000e+12 2.027559 1.000000 0.583546 10.429477
1.395000e+12 2.028209 1.000000 0.583492 10.431573
1.395000e+12 2.028209 1.000000 0.583492 10.431573
1.393000e+12 2.028643 1.000000 0.583455 10.432972
1.389000e+12 2.029513 1.000000 0.583382 10.435776
1.387000e+12 2.029950 1.000000 0.583345 10.437184
1.387000e+12 2.029950 1.000000 0.583345 10.437184
1.387000e+12 2.029950 1.000000 0.583345 10.437184
1.387000e+12 2.029950 1.000000 0.583345 10.437184
1.385000e+12 2.030387 1.000000 0.583309 10.438593
1.385000e+12 2.030387 1.000000 0.583309 10.438593
1.383000e+12 2.030824 1.000000 0.583272 10.440001
1.383000e+12 2.030824 1.000000 0.583272 10.440001
1.381000e+12 2.031263 1.000000 0.583235 10.441416
1.381000e+12 2.031263 1.000000 0.583235 10.441416
1.379000e+12 2.031702 1.000000 0.583198 10.442830
1.377000e+12 2.032142 1.000000 0.583161 10.444248
1.377000e+12 2.032142 1.000000 0.583161 10.444248
1.377000e+12 2.032142 1.000000 0.583161 10.444248
1.375000e+12 2.032582 1.000000 0.583124 10.445665
1.371000e+12 2.033465 1.000000 0.583050 10.448510
1.371000e+12 2.033465 1.000000 0.583050 10.448510
1.371000e+12 2.033465 1.000000 0.583050 10.448510
1.369000e+12 2.033908 1.000000 0.583013 10.449937
1.365000e+12 2.034795 1.000000 0.582938 10.452793
1.362000e+12 2.035462 1.000000 0.582882 10.454941
1.362000e+12 2.035462 1.000000 0.582882 10.454941
1.360000e+12 2.035908 1.000000 0.582845 10.456377
1.358000e+12 2.036354 1.000000 0.582808 10.457813
1.358000e+12 2.036354 1.000000 0.582808 10.457813
1.358000e+12 2.036354 1.000000 0.582808 10.457813
1.358000e+12 2.036354 1.000000 0.582808 10.457813
1.356000e+12 2.036801 1.000000 0.582770 10.459252
1.356000e+12 2.036801 1.000000 0.582770 10.459252
1.356000e+12 2.036801 1.000000 0.582770 10.459252
1.354000e+12 2.037249 1.000000 0.582733 10.460694
1.352000e+12 2.037698 1.000000 0.582695 10.462140
1.352000e+12 2.037698 1.000000 0.582695 10.462140
1.352000e+12 2.037698 1.000000 0.582695 10.462140
1.350000e+12 2.038147 1.000000 0.582657 10.463585
1.350000e+12 2.038147 1.000000 0.582657 10.463585
1.348000e+12 2.038596 1.000000 0.582620 10.465030
1.348000e+12 2.038596 1.000000 0.582620 10.465030
1.348000e+12 2.038596 1.000000 0.582620 10.465030
1.348000e+12 2.038596 1.000000 0.582620 10.465030
1.346000e+12 2.039047 1.000000 0.582582 10.466482
1.344000e+12 2.039498 1.000000 0.582544 10.467933
1.344000e+12 2.039498 1.000000 0.582544 10.467933
1.342000e+12 2.039950 1.000000 0.582506 10.469387
1.342000e+12 2.039950 1.000000 0.582506 10.469387
1.342000e+12 2.039950 1.000000 0.582506 10.469387
1.340000e+12 2.040403 1.000000 0.582469 10.470845
1.340000e+12 2.040403 1.000000 0.582469 10.470845
1.338000e+12 2.040856 1.000000 0.582431 10.472302
1.338000e+12 2.040856 1.000000 0.582431 10.472302
1.338000e+12 2.040856 1.000000 0.582431 10.472302
1.335000e+12 2.041538 1.000000 0.582374 10.474496
1.333000e+12 2.041993 1.000000 0.582336 10.475960
1.329000e+12 2.042906 1.000000 0.582259 10.478897
1.329000e+12 2.042906 1.000000 0.582259 10.478897
1.327000e+12 2.043363 1.000000 0.582221 10.480366
1.327000e+12 2.043363 1.000000 0.582221 10.480366
1.327000e+12 2.043363 1.000000 0.582221 10.480366
1.325000e+12 2.043822 1.000000 0.582183 10.481842
1.325000e+12 2.043822 1.000000 0.582183 10.481842
1.325000e+12 2.043822 1.000000 0.582183 10.481842
1.325000e+12 2.043822 1.000000 0.582183 10.481842
1.323000e+12 2.044280 1.000000 0.582144 10.483315
1.319000e+12 2.045201 1.000000 0.582067 10.486276
1.319000e+12 2.045201 1.000000 0.582067 10.486276
1.317000e+12 2.045662 1.000000 0.582029 10.487758
1.315000e+12 2.046124 1.000000 0.581990 10.489243
1.315000e+12 2.046124 1.000000 0.581990 10.489243
1.315000e+12 2.046124 1.000000 0.581990 10.489243
1.315000e+12 2.046124 1.000000 0.581990 10.489243
1.313000e+12 2.046586 1.000000 0.581952 10.490728
1.311000e+12 2.047050 1.000000 0.581913 10.492220
1.311000e+12 2.047050 1.000000 0.581913 10.492220
1.311000e+12 2.047050 1.000000 0.581913 10.492220
1.309000e+12 2.047514 1.000000 0.581874 10.493711
1.307000e+12 2.047979 1.000000 0.581836 10.495205
1.304000e+12 2.048678 1.000000 0.581777 10.497452
1.304000e+12 2.048678 1.000000 0.581777 10.497452
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.302000e+12 2.049144 1.000000 0.581738 10.498949
1.300000e+12 2.049612 1.000000 0.581699 10.500452
1.298000e+12 2.050080 1.000000 0.581660 10.501956
1.298000e+12 2.050080 1.000000 0.581660 10.501956
1.296000e+12 2.050549 1.000000 0.581621 10.503462
1.294000e+12 2.051019 1.000000 0.581582 10.504972
1.294000e+12 2.051019 1.000000 0.581582 10.504972
1.292000e+12 2.051490 1.000000 0.581543 10.506485
1.290000e+12 2.051961 1.000000 0.581504 10.507998
1.290000e+12 2.051961 1.000000 0.581504 10.507998
1.290000e+12 2.051961 1.000000 0.581504 10.507998
1.290000e+12 2.051961 1.000000 0.581504 10.507998
1.290000e+12 2.051961 1.000000 0.581504 10.507998
1.288000e+12 2.052434 1.000000 0.581464 10.509517
1.288000e+12 2.052434 1.000000 0.581464 10.509517
1.286000e+12 2.052907 1.000000 0.581425 10.511035
1.286000e+12 2.052907 1.000000 0.581425 10.511035
1.286000e+12 2.052907 1.000000 0.581425 10.511035
1.284000e+12 2.053381 1.000000 0.581386 10.512557
1.284000e+12 2.053381 1.000000 0.581386 10.512557
1.282000e+12 2.053855 1.000000 0.581346 10.514079
1.282000e+12 2.053855 1.000000 0.581346 10.514079
1.280000e+12 2.054331 1.000000 0.581307 10.515607
1.280000e+12 2.054331 1.000000 0.581307 10.515607
1.278000e+12 2.054807 1.000000 0.581267 10.517135
1.278000e+12 2.054807 1.000000 0.581267 10.517135
1.278000e+12 2.054807 1.000000 0.581267 10.517135
1.276000e+12 2.055284 1.000000 0.581227 10.518666
1.276000e+12 2.055284 1.000000 0.581227 10.518666
1.276000e+12 2.055284 1.000000 0.581227 10.518666
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.274000e+12 2.055762 1.000000 0.581188 10.520201
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.269000e+12 2.056960 1.000000 0.581088 10.524045
1.267000e+12 2.057440 1.000000 0.581048 10.525585
1.267000e+12 2.057440 1.000000 0.581048 10.525585
1.263000e+12 2.058404 1.000000 0.580968 10.528678
1.263000e+12 2.058404 1.000000 0.580968 10.528678
1.263000e+12 2.058404 1.000000 0.580968 10.528678
1.261000e+12 2.058887 1.000000 0.580928 10.530228
1.261000e+12 2.058887 1.000000 0.580928 10.530228
1.261000e+12 2.058887 1.000000 0.580928 10.530228
1.259000e+12 2.059371 1.000000 0.580888 10.531780
1.259000e+12 2.059371 1.000000 0.580888 10.531780
1.259000e+12 2.059371 1.000000 0.580888 10.531780
1.259000e+12 2.059371 1.000000 0.580888 10.531780
1.257000e+12 2.059855 1.000000 0.580848 10.533333
1.255000e+12 2.060341 1.000000 0.580807 10.534891
1.255000e+12 2.060341 1.000000 0.580807 10.534891
1.255000e+12 2.060341 1.000000 0.580807 10.534891
1.253000e+12 2.060827 1.000000 0.580767 10.536450
1.253000e+12 2.060827 1.000000 0.580767 10.536450
1.251000e+12 2.061314 1.000000 0.580727 10.538012
1.251000e+12 2.061314 1.000000 0.580727 10.538012
1.251000e+12 2.061314 1.000000 0.580727 10.538012
1.249000e+12 2.061802 1.000000 0.580686 10.539577
1.247000e+12 2.062291 1.000000 0.580646 10.541144
1.244000e+12 2.063026 1.000000 0.580585 10.543501
1.244000e+12 2.063026 1.000000 0.580585 10.543501
1.244000e+12 2.063026 1.000000 0.580585 10.543501
1.243000e+12 2.063272 1.000000 0.580564 10.544289
1.243000e+12 2.063272 1.000000 0.580564 10.544289
1.243000e+12 2.063272 1.000000 0.580564 10.544289
1.240000e+12 2.064009 1.000000 0.580503 10.546652
1.238000e+12 2.064502 1.000000 0.580462 10.548232
1.236000e+12 2.064995 1.000000 0.580422 10.549812
1.236000e+12 2.064995 1.000000 0.580422 10.549812
