Mvir[M_sun/h] sigma(M,0) D(z) D(z_f,peak) c_vir
1.626000e+13 1.350761 1.000000 0.651468 8.120919
1.616000e+13 1.352290 1.000000 0.651282 8.126438
1.613000e+13 1.352751 1.000000 0.651227 8.128102
1.601000e+13 1.354603 1.000000 0.651002 8.134784
1.601000e+13 1.354603 1.000000 0.651002 8.134784
1.600000e+13 1.354758 1.000000 0.650984 8.135343
1.596000e+13 1.355380 1.000000 0.650908 8.137587
1.593000e+13 1.355847 1.000000 0.650852 8.139271
1.573000e+13 1.358986 1.000000 0.650473 8.150589
1.573000e+13 1.358986 1.000000 0.650473 8.150589
1.572000e+13 1.359144 1.000000 0.650454 8.151159
1.561000e+13 1.360890 1.000000 0.650243 8.157452
1.551000e+13 1.362490 1.000000 0.650051 8.163217
1.543000e+13 1.363777 1.000000 0.649896 8.167853
1.540000e+13 1.364262 1.000000 0.649837 8.169599
1.538000e+13 1.364586 1.000000 0.649798 8.170766
1.531000e+13 1.365723 1.000000 0.649662 8.174861
1.528000e+13 1.366212 1.000000 0.649603 8.176621
1.527000e+13 1.366375 1.000000 0.649584 8.177208
1.516000e+13 1.368178 1.000000 0.649367 8.183698
1.514000e+13 1.368507 1.000000 0.649328 8.184882
1.498000e+13 1.371159 1.000000 0.649010 8.194424
1.494000e+13 1.371827 1.000000 0.648930 8.196827
1.479000e+13 1.374349 1.000000 0.648629 8.205896
1.465000e+13 1.376729 1.000000 0.648345 8.214451
1.455000e+13 1.378444 1.000000 0.648140 8.220613
1.451000e+13 1.379133 1.000000 0.648058 8.223088
1.424000e+13 1.383843 1.000000 0.647498 8.240000
1.416000e+13 1.385257 1.000000 0.647331 8.245075
1.396000e+13 1.388831 1.000000 0.646907 8.257896
1.382000e+13 1.391366 1.000000 0.646608 8.266985
1.379000e+13 1.391913 1.000000 0.646543 8.268945
1.350000e+13 1.397268 1.000000 0.645912 8.288130
1.349000e+13 1.397455 1.000000 0.645890 8.288800
1.338000e+13 1.399521 1.000000 0.645647 8.296197
1.333000e+13 1.400467 1.000000 0.645536 8.299583
1.326000e+13 1.401796 1.000000 0.645380 8.304338
1.322000e+13 1.402560 1.000000 0.645290 8.307072
1.322000e+13 1.402560 1.000000 0.645290 8.307072
1.300000e+13 1.406804 1.000000 0.644793 8.322250
1.296000e+13 1.407584 1.000000 0.644702 8.325038
1.294000e+13 1.407975 1.000000 0.644656 8.326436
1.288000e+13 1.409152 1.000000 0.644519 8.330643
1.288000e+13 1.409152 1.000000 0.644519 8.330643
1.284000e+13 1.409940 1.000000 0.644427 8.333458
1.279000e+13 1.410929 1.000000 0.644311 8.336992
1.272000e+13 1.412320 1.000000 0.644149 8.341961
1.268000e+13 1.413119 1.000000 0.644056 8.344814
1.268000e+13 1.413119 1.000000 0.644056 8.344814
1.261000e+13 1.414524 1.000000 0.643893 8.349831
1.259000e+13 1.414927 1.000000 0.643846 8.351270
1.255000e+13 1.415735 1.000000 0.643752 8.354154
1.251000e+13 1.416546 1.000000 0.643657 8.357049
1.249000e+13 1.416952 1.000000 0.643610 8.358498
1.242000e+13 1.418380 1.000000 0.643444 8.363594
1.237000e+13 1.419406 1.000000 0.643325 8.367254
1.236000e+13 1.419611 1.000000 0.643302 8.367985
1.233000e+13 1.420229 1.000000 0.643230 8.370190
1.233000e+13 1.420229 1.000000 0.643230 8.370190
1.230000e+13 1.420849 1.000000 0.643158 8.372401
1.210000e+13 1.425023 1.000000 0.642675 8.387282
1.203000e+13 1.426501 1.000000 0.642504 8.392549
1.198000e+13 1.427563 1.000000 0.642382 8.396332
1.197000e+13 1.427776 1.000000 0.642357 8.397091
1.188000e+13 1.429702 1.000000 0.642135 8.403950
1.185000e+13 1.430347 1.000000 0.642060 8.406247
1.183000e+13 1.430778 1.000000 0.642011 8.407782
1.173000e+13 1.432946 1.000000 0.641761 8.415499
1.173000e+13 1.432946 1.000000 0.641761 8.415499
1.169000e+13 1.433819 1.000000 0.641661 8.418606
1.167000e+13 1.434257 1.000000 0.641611 8.420164
1.159000e+13 1.436016 1.000000 0.641409 8.426422
1.152000e+13 1.437566 1.000000 0.641231 8.431935
1.141000e+13 1.440023 1.000000 0.640949 8.440671
1.139000e+13 1.440472 1.000000 0.640898 8.442267
1.139000e+13 1.440472 1.000000 0.640898 8.442267
1.132000e+13 1.442052 1.000000 0.640717 8.447882
1.129000e+13 1.442732 1.000000 0.640639 8.450298
1.126000e+13 1.443415 1.000000 0.640561 8.452725
1.125000e+13 1.443643 1.000000 0.640535 8.453535
1.122000e+13 1.444328 1.000000 0.640457 8.455968
1.109000e+13 1.447319 1.000000 0.640115 8.466589
1.097000e+13 1.450115 1.000000 0.639797 8.476513
1.096000e+13 1.450349 1.000000 0.639770 8.477344
1.091000e+13 1.451525 1.000000 0.639637 8.481516
1.089000e+13 1.451997 1.000000 0.639583 8.483190
1.083000e+13 1.453418 1.000000 0.639422 8.488231
1.059000e+13 1.459192 1.000000 0.638767 8.508698
1.051000e+13 1.461148 1.000000 0.638546 8.515627
1.049000e+13 1.461640 1.000000 0.638490 8.517369
1.040000e+13 1.463865 1.000000 0.638239 8.525248
1.035000e+13 1.465110 1.000000 0.638098 8.529655
1.030000e+13 1.466362 1.000000 0.637957 8.534086
1.021000e+13 1.468632 1.000000 0.637702 8.542117
1.019000e+13 1.469139 1.000000 0.637645 8.543910
9.979000e+12 1.474560 1.000000 0.637036 8.563075
9.919000e+12 1.476124 1.000000 0.636861 8.568601
9.727000e+12 1.481199 1.000000 0.636293 8.586522
9.706000e+12 1.481760 1.000000 0.636231 8.588502
9.683000e+12 1.482377 1.000000 0.636162 8.590680
9.683000e+12 1.482377 1.000000 0.636162 8.590680
9.667000e+12 1.482807 1.000000 0.636114 8.592197
9.489000e+12 1.487644 1.000000 0.635575 8.609258
9.483000e+12 1.487808 1.000000 0.635557 8.609837
9.446000e+12 1.488827 1.000000 0.635444 8.613429
9.394000e+12 1.490265 1.000000 0.635284 8.618497
9.340000e+12 1.491768 1.000000 0.635117 8.623794
9.233000e+12 1.494775 1.000000 0.634784 8.634386
9.225000e+12 1.495002 1.000000 0.634759 8.635185
9.214000e+12 1.495313 1.000000 0.634724 8.636280
9.144000e+12 1.497305 1.000000 0.634504 8.643293
8.985000e+12 1.501892 1.000000 0.633997 8.659433
8.943000e+12 1.503119 1.000000 0.633862 8.663748
8.937000e+12 1.503295 1.000000 0.633843 8.664367
8.859000e+12 1.505591 1.000000 0.633590 8.672439
8.770000e+12 1.508238 1.000000 0.633299 8.681741
8.768000e+12 1.508298 1.000000 0.633292 8.681952
8.761000e+12 1.508507 1.000000 0.633270 8.682686
8.714000e+12 1.509918 1.000000 0.633115 8.687643
8.710000e+12 1.510039 1.000000 0.633101 8.688068
8.670000e+12 1.511247 1.000000 0.632969 8.692311
8.606000e+12 1.513193 1.000000 0.632756 8.699143
8.606000e+12 1.513193 1.000000 0.632756 8.699143
8.540000e+12 1.515216 1.000000 0.632534 8.706244
8.455000e+12 1.517847 1.000000 0.632247 8.715474
8.422000e+12 1.518876 1.000000 0.632134 8.719083
8.414000e+12 1.519126 1.000000 0.632107 8.719960
8.389000e+12 1.519909 1.000000 0.632022 8.722706
8.348000e+12 1.521199 1.000000 0.631881 8.727229
8.340000e+12 1.521452 1.000000 0.631853 8.728116
8.317000e+12 1.522180 1.000000 0.631774 8.730668
8.265000e+12 1.523833 1.000000 0.631594 8.736461
8.230000e+12 1.524952 1.000000 0.631472 8.740381
8.211000e+12 1.525562 1.000000 0.631406 8.742519
8.205000e+12 1.525754 1.000000 0.631385 8.743191
8.176000e+12 1.526689 1.000000 0.631283 8.746466
8.172000e+12 1.526818 1.000000 0.631269 8.746918
8.160000e+12 1.527206 1.000000 0.631227 8.748277
8.092000e+12 1.529415 1.000000 0.630987 8.756012
8.090000e+12 1.529480 1.000000 0.630980 8.756239
8.032000e+12 1.531381 1.000000 0.630774 8.762893
7.986000e+12 1.532900 1.000000 0.630610 8.768208
7.928000e+12 1.534828 1.000000 0.630401 8.774953
7.908000e+12 1.535496 1.000000 0.630329 8.777289
7.881000e+12 1.536402 1.000000 0.630231 8.780457
7.846000e+12 1.537580 1.000000 0.630104 8.784576
7.841000e+12 1.537749 1.000000 0.630086 8.785167
7.781000e+12 1.539784 1.000000 0.629866 8.792280
7.775000e+12 1.539988 1.000000 0.629844 8.792992
7.767000e+12 1.540261 1.000000 0.629815 8.793946
7.767000e+12 1.540261 1.000000 0.629815 8.793946
7.699000e+12 1.542593 1.000000 0.629564 8.802094
7.699000e+12 1.542593 1.000000 0.629564 8.802094
7.666000e+12 1.543733 1.000000 0.629441 8.806075
7.664000e+12 1.543802 1.000000 0.629433 8.806316
7.641000e+12 1.544600 1.000000 0.629348 8.809103
7.641000e+12 1.544600 1.000000 0.629348 8.809103
7.631000e+12 1.544947 1.000000 0.629310 8.810315
7.620000e+12 1.545330 1.000000 0.629269 8.811652
7.610000e+12 1.545679 1.000000 0.629232 8.812870
7.558000e+12 1.547500 1.000000 0.629036 8.819227
7.536000e+12 1.548275 1.000000 0.628953 8.821931
7.490000e+12 1.549902 1.000000 0.628778 8.827608
7.469000e+12 1.550649 1.000000 0.628698 8.830214
7.465000e+12 1.550792 1.000000 0.628683 8.830713
7.459000e+12 1.551005 1.000000 0.628660 8.831456
7.438000e+12 1.551755 1.000000 0.628580 8.834072
7.413000e+12 1.552651 1.000000 0.628484 8.837196
7.403000e+12 1.553011 1.000000 0.628446 8.838452
7.378000e+12 1.553911 1.000000 0.628349 8.841590
7.343000e+12 1.555177 1.000000 0.628214 8.846003
7.339000e+12 1.555323 1.000000 0.628198 8.846512
7.335000e+12 1.555468 1.000000 0.628183 8.847017
7.335000e+12 1.555468 1.000000 0.628183 8.847017
7.292000e+12 1.557034 1.000000 0.628016 8.852474
7.269000e+12 1.557876 1.000000 0.627926 8.855408
7.263000e+12 1.558097 1.000000 0.627902 8.856178
7.252000e+12 1.558501 1.000000 0.627859 8.857585
7.217000e+12 1.559791 1.000000 0.627722 8.862079
7.176000e+12 1.561311 1.000000 0.627560 8.867372
7.170000e+12 1.561534 1.000000 0.627536 8.868148
7.159000e+12 1.561944 1.000000 0.627492 8.869576
7.143000e+12 1.562541 1.000000 0.627429 8.871654
7.143000e+12 1.562541 1.000000 0.627429 8.871654
7.139000e+12 1.562691 1.000000 0.627413 8.872177
7.132000e+12 1.562953 1.000000 0.627385 8.873089
7.112000e+12 1.563703 1.000000 0.627305 8.875699
7.106000e+12 1.563928 1.000000 0.627281 8.876482
7.091000e+12 1.564493 1.000000 0.627221 8.878449
7.077000e+12 1.565021 1.000000 0.627165 8.880286
7.072000e+12 1.565209 1.000000 0.627145 8.880940
7.041000e+12 1.566384 1.000000 0.627020 8.885028
7.033000e+12 1.566688 1.000000 0.626988 8.886086
6.961000e+12 1.569440 1.000000 0.626696 8.895657
6.901000e+12 1.571757 1.000000 0.626451 8.903712
6.899000e+12 1.571834 1.000000 0.626443 8.903980
6.880000e+12 1.572573 1.000000 0.626364 8.906548
6.874000e+12 1.572807 1.000000 0.626340 8.907362
6.862000e+12 1.573275 1.000000 0.626290 8.908988
6.833000e+12 1.574410 1.000000 0.626170 8.912931
6.828000e+12 1.574606 1.000000 0.626149 8.913612
6.826000e+12 1.574684 1.000000 0.626141 8.913883
6.775000e+12 1.576695 1.000000 0.625929 8.920869
6.768000e+12 1.576972 1.000000 0.625900 8.921831
6.764000e+12 1.577131 1.000000 0.625883 8.922383
6.756000e+12 1.577448 1.000000 0.625849 8.923483
6.729000e+12 1.578523 1.000000 0.625736 8.927216
6.725000e+12 1.578682 1.000000 0.625719 8.927768
6.725000e+12 1.578682 1.000000 0.625719 8.927768
6.673000e+12 1.580766 1.000000 0.625500 8.935002
6.659000e+12 1.581330 1.000000 0.625440 8.936959
6.655000e+12 1.581491 1.000000 0.625423 8.937518
6.632000e+12 1.582422 1.000000 0.625325 8.940748
6.566000e+12 1.585110 1.000000 0.625043 8.950072
6.551000e+12 1.585725 1.000000 0.624978 8.952205
6.533000e+12 1.586465 1.000000 0.624901 8.954771
6.473000e+12 1.588948 1.000000 0.624640 8.963378
6.442000e+12 1.590241 1.000000 0.624505 8.967859
6.398000e+12 1.592087 1.000000 0.624311 8.974254
6.386000e+12 1.592593 1.000000 0.624259 8.976007
6.361000e+12 1.593651 1.000000 0.624148 8.979671
6.347000e+12 1.594245 1.000000 0.624086 8.981728
6.320000e+12 1.595395 1.000000 0.623966 8.985709
6.318000e+12 1.595480 1.000000 0.623957 8.986004
6.278000e+12 1.597194 1.000000 0.623778 8.991937
6.270000e+12 1.597538 1.000000 0.623742 8.993127
6.266000e+12 1.597710 1.000000 0.623724 8.993722
6.233000e+12 1.599136 1.000000 0.623575 8.998657
6.202000e+12 1.600483 1.000000 0.623435 9.003316
6.198000e+12 1.600657 1.000000 0.623417 9.003918
6.194000e+12 1.600832 1.000000 0.623399 9.004524
6.175000e+12 1.601662 1.000000 0.623312 9.007394
6.138000e+12 1.603287 1.000000 0.623143 9.013013
6.136000e+12 1.603375 1.000000 0.623134 9.013317
6.132000e+12 1.603552 1.000000 0.623116 9.013929
6.113000e+12 1.604391 1.000000 0.623029 9.016830
6.059000e+12 1.606792 1.000000 0.622779 9.025128
6.045000e+12 1.607419 1.000000 0.622714 9.027294
6.031000e+12 1.608047 1.000000 0.622649 9.029464
6.026000e+12 1.608271 1.000000 0.622626 9.030237
6.010000e+12 1.608991 1.000000 0.622551 9.032724
5.995000e+12 1.609669 1.000000 0.622481 9.035066
5.991000e+12 1.609849 1.000000 0.622462 9.035688
5.985000e+12 1.610121 1.000000 0.622434 9.036627
5.952000e+12 1.611620 1.000000 0.622279 9.041803
5.950000e+12 1.611711 1.000000 0.622270 9.042117
5.937000e+12 1.612304 1.000000 0.622208 9.044165
5.931000e+12 1.612578 1.000000 0.622180 9.045110
5.892000e+12 1.614368 1.000000 0.621995 9.051289
5.892000e+12 1.614368 1.000000 0.621995 9.051289
5.873000e+12 1.615245 1.000000 0.621904 9.054315
