# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
1.276000e+00 8.685966 8.686012 0.000 1.000000 0.367477 0.987581 0.982905 26.661461 73.397691 73.032024 0.000000e+00
1.220000e+00 8.685969 8.686014 0.000 1.000000 0.367437 0.987715 0.983097 26.658597 73.408202 73.047066 0.000000e+00
1.167000e+00 8.685973 8.686017 0.000 1.000000 0.367397 0.987851 0.983389 26.655781 73.418842 73.069968 0.000000e+00
1.116000e+00 8.685976 8.686019 0.000 1.000000 0.367358 0.987988 0.983587 26.652959 73.429597 73.085477 0.000000e+00
1.067000e+00 8.685980 8.686021 0.000 1.000000 0.367318 0.988267 0.983889 26.650143 73.451481 73.109112 0.000000e+00
1.020000e+00 8.685983 8.686023 0.000 1.000000 0.367279 0.988410 0.984094 26.647329 73.462637 73.125133 0.000000e+00
9.756000e-01 8.685986 8.686025 0.000 1.000000 0.367240 0.988554 0.984301 26.644564 73.473936 73.141373 0.000000e+00
9.329000e-01 8.685989 8.686027 0.000 1.000000 0.367201 0.988700 0.984511 26.641799 73.485384 73.157841 0.000000e+00
8.921000e-01 8.685992 8.686029 0.000 1.000000 0.367163 0.988848 0.984725 26.639051 73.496987 73.174546 0.000000e+00
8.531000e-01 8.685995 8.686031 0.000 1.000000 0.367124 0.988998 0.984941 26.636318 73.508752 73.191499 0.000000e+00
8.157000e-01 8.685998 8.686033 0.000 1.000000 0.367086 0.989150 0.985161 26.633593 73.520684 73.208711 0.000000e+00
7.800000e-01 8.686001 8.686034 0.000 1.000000 0.367048 0.989461 0.985384 26.630887 73.545055 73.226194 0.000000e+00
7.459000e-01 8.686003 8.686036 0.000 1.000000 0.367011 0.989461 0.985611 26.628195 73.545073 73.243951 0.000000e+00
7.132000e-01 8.686006 8.686038 0.000 1.000000 0.366973 0.989621 0.985842 26.625513 73.557555 73.262015 0.000000e+00
6.820000e-01 8.686009 8.686039 0.000 1.000000 0.366936 0.989947 0.986076 26.622852 73.583104 73.280390 0.000000e+00
6.522000e-01 8.686011 8.686041 0.000 1.000000 0.366899 0.989947 0.986195 26.620205 73.583122 73.289705 0.000000e+00
6.236000e-01 8.686013 8.686042 0.000 1.000000 0.366861 0.990114 0.986436 26.617562 73.596226 73.308571 0.000000e+00
5.963000e-01 8.686016 8.686044 0.000 1.000000 0.366825 0.990284 0.986682 26.614942 73.609572 73.327802 0.000000e+00
5.702000e-01 8.686018 8.686045 0.000 1.000000 0.366788 0.990458 0.986806 26.612333 73.623155 73.337561 0.000000e+00
5.453000e-01 8.686020 8.686046 0.000 1.000000 0.366752 0.990635 0.987059 26.609744 73.636996 73.357356 0.000000e+00
5.214000e-01 8.686022 8.686048 0.000 1.000000 0.366716 0.990635 0.987188 26.607159 73.637013 73.367415 0.000000e+00
4.986000e-01 8.686024 8.686049 0.000 1.000000 0.366680 0.990815 0.987317 26.604594 73.651128 73.377579 0.000000e+00
