Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.16M,0)
1.123000e+12 0.00 1.000000 2.080253 2.298256 2.677569
1.123000e+12 0.00 1.000000 2.080253 2.298256 2.677569
1.121000e+12 0.00 1.000000 2.080801 2.298829 2.678182
1.121000e+12 0.00 1.000000 2.080801 2.298829 2.678182
1.118000e+12 0.00 1.000000 2.081625 2.299691 2.679103
1.118000e+12 0.00 1.000000 2.081625 2.299691 2.679103
1.118000e+12 0.00 1.000000 2.081625 2.299691 2.679103
1.116000e+12 0.00 1.000000 2.082175 2.300267 2.679719
1.116000e+12 0.00 1.000000 2.082175 2.300267 2.679719
1.116000e+12 0.00 1.000000 2.082175 2.300267 2.679719
1.116000e+12 0.00 1.000000 2.082175 2.300267 2.679719
1.116000e+12 0.00 1.000000 2.082175 2.300267 2.679719
1.114000e+12 0.00 1.000000 2.082727 2.300845 2.680337
1.112000e+12 0.00 1.000000 2.083279 2.301423 2.680955
1.112000e+12 0.00 1.000000 2.083279 2.301423 2.680955
1.112000e+12 0.00 1.000000 2.083279 2.301423 2.680955
1.112000e+12 0.00 1.000000 2.083279 2.301423 2.680955
1.112000e+12 0.00 1.000000 2.083279 2.301423 2.680955
1.110000e+12 0.00 1.000000 2.083833 2.302002 2.681574
1.110000e+12 0.00 1.000000 2.083833 2.302002 2.681574
1.108000e+12 0.00 1.000000 2.084388 2.302583 2.682195
1.108000e+12 0.00 1.000000 2.084388 2.302583 2.682195
1.106000e+12 0.00 1.000000 2.084943 2.303164 2.682817
1.106000e+12 0.00 1.000000 2.084943 2.303164 2.682817
1.106000e+12 0.00 1.000000 2.084943 2.303164 2.682817
1.104000e+12 0.00 1.000000 2.085500 2.303747 2.683440
1.104000e+12 0.00 1.000000 2.085500 2.303747 2.683440
1.104000e+12 0.00 1.000000 2.085500 2.303747 2.683440
1.104000e+12 0.00 1.000000 2.085500 2.303747 2.683440
1.102000e+12 0.00 1.000000 2.086058 2.304331 2.684064
1.102000e+12 0.00 1.000000 2.086058 2.304331 2.684064
1.102000e+12 0.00 1.000000 2.086058 2.304331 2.684064
1.102000e+12 0.00 1.000000 2.086058 2.304331 2.684064
1.100000e+12 0.00 1.000000 2.086617 2.304916 2.684690
1.100000e+12 0.00 1.000000 2.086617 2.304916 2.684690
1.100000e+12 0.00 1.000000 2.086617 2.304916 2.684690
1.100000e+12 0.00 1.000000 2.086617 2.304916 2.684690
1.100000e+12 0.00 1.000000 2.086617 2.304916 2.684690
1.100000e+12 0.00 1.000000 2.086617 2.304916 2.684690
1.098000e+12 0.00 1.000000 2.087177 2.305502 2.685316
1.098000e+12 0.00 1.000000 2.087177 2.305502 2.685316
1.098000e+12 0.00 1.000000 2.087177 2.305502 2.685316
1.096000e+12 0.00 1.000000 2.087738 2.306089 2.685944
1.096000e+12 0.00 1.000000 2.087738 2.306089 2.685944
1.094000e+12 0.00 1.000000 2.088301 2.306677 2.686573
1.094000e+12 0.00 1.000000 2.088301 2.306677 2.686573
1.094000e+12 0.00 1.000000 2.088301 2.306677 2.686573
1.092000e+12 0.00 1.000000 2.088864 2.307267 2.687203
1.092000e+12 0.00 1.000000 2.088864 2.307267 2.687203
1.092000e+12 0.00 1.000000 2.088864 2.307267 2.687203
1.087000e+12 0.00 1.000000 2.090277 2.308746 2.688784
1.087000e+12 0.00 1.000000 2.090277 2.308746 2.688784
1.087000e+12 0.00 1.000000 2.090277 2.308746 2.688784
1.087000e+12 0.00 1.000000 2.090277 2.308746 2.688784
1.087000e+12 0.00 1.000000 2.090277 2.308746 2.688784
1.087000e+12 0.00 1.000000 2.090277 2.308746 2.688784
1.085000e+12 0.00 1.000000 2.090844 2.309339 2.689419
1.085000e+12 0.00 1.000000 2.090844 2.309339 2.689419
1.085000e+12 0.00 1.000000 2.090844 2.309339 2.689419
1.083000e+12 0.00 1.000000 2.091413 2.309934 2.690055
1.083000e+12 0.00 1.000000 2.091413 2.309934 2.690055
1.083000e+12 0.00 1.000000 2.091413 2.309934 2.690055
1.083000e+12 0.00 1.000000 2.091413 2.309934 2.690055
1.081000e+12 0.00 1.000000 2.091982 2.310530 2.690692
1.081000e+12 0.00 1.000000 2.091982 2.310530 2.690692
1.081000e+12 0.00 1.000000 2.091982 2.310530 2.690692
1.081000e+12 0.00 1.000000 2.091982 2.310530 2.690692
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.079000e+12 0.00 1.000000 2.092553 2.311127 2.691330
1.077000e+12 0.00 1.000000 2.093125 2.311725 2.691969
1.077000e+12 0.00 1.000000 2.093125 2.311725 2.691969
1.077000e+12 0.00 1.000000 2.093125 2.311725 2.691969
1.075000e+12 0.00 1.000000 2.093698 2.312325 2.692610
1.075000e+12 0.00 1.000000 2.093698 2.312325 2.692610
1.075000e+12 0.00 1.000000 2.093698 2.312325 2.692610
1.075000e+12 0.00 1.000000 2.093698 2.312325 2.692610
1.073000e+12 0.00 1.000000 2.094272 2.312925 2.693252
1.073000e+12 0.00 1.000000 2.094272 2.312925 2.693252
1.073000e+12 0.00 1.000000 2.094272 2.312925 2.693252
1.073000e+12 0.00 1.000000 2.094272 2.312925 2.693252
1.073000e+12 0.00 1.000000 2.094272 2.312925 2.693252
1.073000e+12 0.00 1.000000 2.094272 2.312925 2.693252
1.071000e+12 0.00 1.000000 2.094847 2.313527 2.693895
1.071000e+12 0.00 1.000000 2.094847 2.313527 2.693895
1.069000e+12 0.00 1.000000 2.095423 2.314130 2.694540
1.069000e+12 0.00 1.000000 2.095423 2.314130 2.694540
1.069000e+12 0.00 1.000000 2.095423 2.314130 2.694540
1.067000e+12 0.00 1.000000 2.096000 2.314734 2.695186
1.067000e+12 0.00 1.000000 2.096000 2.314734 2.695186
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.065000e+12 0.00 1.000000 2.096579 2.315340 2.695833
1.063000e+12 0.00 1.000000 2.097159 2.315946 2.696481
1.063000e+12 0.00 1.000000 2.097159 2.315946 2.696481
1.061000e+12 0.00 1.000000 2.097740 2.316554 2.697131
1.061000e+12 0.00 1.000000 2.097740 2.316554 2.697131
1.061000e+12 0.00 1.000000 2.097740 2.316554 2.697131
1.061000e+12 0.00 1.000000 2.097740 2.316554 2.697131
1.058000e+12 0.00 1.000000 2.098613 2.317468 2.698108
1.058000e+12 0.00 1.000000 2.098613 2.317468 2.698108
1.056000e+12 0.00 1.000000 2.099197 2.318079 2.698761
1.056000e+12 0.00 1.000000 2.099197 2.318079 2.698761
1.056000e+12 0.00 1.000000 2.099197 2.318079 2.698761
1.056000e+12 0.00 1.000000 2.099197 2.318079 2.698761
1.054000e+12 0.00 1.000000 2.099782 2.318691 2.699415
1.054000e+12 0.00 1.000000 2.099782 2.318691 2.699415
1.054000e+12 0.00 1.000000 2.099782 2.318691 2.699415
1.054000e+12 0.00 1.000000 2.099782 2.318691 2.699415
1.052000e+12 0.00 1.000000 2.100369 2.319304 2.700070
1.052000e+12 0.00 1.000000 2.100369 2.319304 2.700070
1.052000e+12 0.00 1.000000 2.100369 2.319304 2.700070
1.050000e+12 0.00 1.000000 2.100956 2.319919 2.700727
1.050000e+12 0.00 1.000000 2.100956 2.319919 2.700727
1.050000e+12 0.00 1.000000 2.100956 2.319919 2.700727
1.050000e+12 0.00 1.000000 2.100956 2.319919 2.700727
1.048000e+12 0.00 1.000000 2.101545 2.320535 2.701385
1.048000e+12 0.00 1.000000 2.101545 2.320535 2.701385
1.048000e+12 0.00 1.000000 2.101545 2.320535 2.701385
1.048000e+12 0.00 1.000000 2.101545 2.320535 2.701385
1.048000e+12 0.00 1.000000 2.101545 2.320535 2.701385
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.046000e+12 0.00 1.000000 2.102135 2.321152 2.702045
1.044000e+12 0.00 1.000000 2.102726 2.321770 2.702706
1.042000e+12 0.00 1.000000 2.103318 2.322390 2.703368
1.040000e+12 0.00 1.000000 2.103911 2.323010 2.704031
1.040000e+12 0.00 1.000000 2.103911 2.323010 2.704031
1.040000e+12 0.00 1.000000 2.103911 2.323010 2.704031
1.038000e+12 0.00 1.000000 2.104506 2.323633 2.704696
1.038000e+12 0.00 1.000000 2.104506 2.323633 2.704696
1.038000e+12 0.00 1.000000 2.104506 2.323633 2.704696
1.038000e+12 0.00 1.000000 2.104506 2.323633 2.704696
1.036000e+12 0.00 1.000000 2.105102 2.324256 2.705362
1.036000e+12 0.00 1.000000 2.105102 2.324256 2.705362
1.036000e+12 0.00 1.000000 2.105102 2.324256 2.705362
1.036000e+12 0.00 1.000000 2.105102 2.324256 2.705362
4.753000e+14 0.00 1.000000 0.645934 0.764470 0.985985
4.328000e+14 0.00 1.000000 0.661235 0.781431 1.005661
2.988000e+14 0.00 1.000000 0.723954 0.850717 1.085645
2.726000e+14 0.00 1.000000 0.740031 0.868420 1.105987
2.452000e+14 0.00 1.000000 0.758857 0.889121 1.129728
2.184000e+14 0.00 1.000000 0.779756 0.912067 1.155986
1.859000e+14 0.00 1.000000 0.809417 0.944574 1.193089
1.266000e+14 0.00 1.000000 0.882817 1.024733 1.284124
1.266000e+14 0.00 1.000000 0.882817 1.024733 1.284124
1.104000e+14 0.00 1.000000 0.909886 1.054200 1.317437
1.062000e+14 0.00 1.000000 0.917640 1.062632 1.326955
1.032000e+14 0.00 1.000000 0.923394 1.068886 1.334011
1.031000e+14 0.00 1.000000 0.923589 1.069098 1.334250
1.021000e+14 0.00 1.000000 0.925551 1.071230 1.336655
1.014000e+14 0.00 1.000000 0.926937 1.072737 1.338353
9.534000e+13 0.00 1.000000 0.939408 1.086283 1.353619
9.451000e+13 0.00 1.000000 0.941185 1.088213 1.355793
8.643000e+13 0.00 1.000000 0.959463 1.108046 1.378113
8.575000e+13 0.00 1.000000 0.961088 1.109808 1.380095
8.524000e+13 0.00 1.000000 0.962316 1.111140 1.381593
8.462000e+13 0.00 1.000000 0.963820 1.112772 1.383427
8.442000e+13 0.00 1.000000 0.964308 1.113301 1.384022
8.012000e+13 0.00 1.000000 0.975125 1.125025 1.397196
7.975000e+13 0.00 1.000000 0.976086 1.126066 1.398366
7.913000e+13 0.00 1.000000 0.977707 1.127823 1.400339
7.854000e+13 0.00 1.000000 0.979264 1.129510 1.402232
7.708000e+13 0.00 1.000000 0.983172 1.133743 1.406986
7.545000e+13 0.00 1.000000 0.987635 1.138577 1.412410
7.308000e+13 0.00 1.000000 0.994320 1.145815 1.420531
7.152000e+13 0.00 1.000000 0.998855 1.150723 1.426034
7.080000e+13 0.00 1.000000 1.000985 1.153029 1.428619
6.899000e+13 0.00 1.000000 1.006450 1.158941 1.435245
6.794000e+13 0.00 1.000000 1.009694 1.162450 1.439177
6.639000e+13 0.00 1.000000 1.014586 1.167741 1.445103
6.453000e+13 0.00 1.000000 1.020629 1.174274 1.452418
6.398000e+13 0.00 1.000000 1.022453 1.176246 1.454625
6.348000e+13 0.00 1.000000 1.024127 1.178055 1.456650
5.723000e+13 0.00 1.000000 1.046382 1.202095 1.483531
5.592000e+13 0.00 1.000000 1.051391 1.207502 1.489571
5.564000e+13 0.00 1.000000 1.052478 1.208676 1.490882
5.496000e+13 0.00 1.000000 1.055145 1.211554 1.494096
5.479000e+13 0.00 1.000000 1.055818 1.212280 1.494906
5.473000e+13 0.00 1.000000 1.056056 1.212536 1.495193
5.398000e+13 0.00 1.000000 1.059054 1.215772 1.498805
5.353000e+13 0.00 1.000000 1.060876 1.217737 1.500998
5.324000e+13 0.00 1.000000 1.062059 1.219013 1.502423
5.075000e+13 0.00 1.000000 1.072521 1.230297 1.515011
4.772000e+13 0.00 1.000000 1.086052 1.244881 1.531269
4.604000e+13 0.00 1.000000 1.093973 1.253414 1.540775
4.587000e+13 0.00 1.000000 1.094792 1.254297 1.541758
4.484000e+13 0.00 1.000000 1.099830 1.259722 1.547799
4.392000e+13 0.00 1.000000 1.104440 1.264686 1.553324
4.324000e+13 0.00 1.000000 1.107917 1.268429 1.557489
4.291000e+13 0.00 1.000000 1.109626 1.270269 1.559536
4.027000e+13 0.00 1.000000 1.123849 1.285572 1.576554
4.013000e+13 0.00 1.000000 1.124632 1.286415 1.577490
3.996000e+13 0.00 1.000000 1.125587 1.287442 1.578631
3.970000e+13 0.00 1.000000 1.127056 1.289022 1.580387
3.912000e+13 0.00 1.000000 1.130372 1.292588 1.584350
3.789000e+13 0.00 1.000000 1.137589 1.300347 1.592968
3.645000e+13 0.00 1.000000 1.146376 1.309790 1.603453
3.541000e+13 0.00 1.000000 1.152964 1.316869 1.611308
3.524000e+13 0.00 1.000000 1.154062 1.318048 1.612616
3.502000e+13 0.00 1.000000 1.155490 1.319582 1.614318
3.495000e+13 0.00 1.000000 1.155947 1.320073 1.614863
3.433000e+13 0.00 1.000000 1.160037 1.324466 1.619735
3.415000e+13 0.00 1.000000 1.161240 1.325757 1.621167
3.413000e+13 0.00 1.000000 1.161374 1.325901 1.621327
3.410000e+13 0.00 1.000000 1.161575 1.326118 1.621567
3.402000e+13 0.00 1.000000 1.162113 1.326695 1.622207
3.384000e+13 0.00 1.000000 1.163328 1.328000 1.623653
3.360000e+13 0.00 1.000000 1.164959 1.329751 1.625595
3.348000e+13 0.00 1.000000 1.165780 1.330632 1.626572
3.338000e+13 0.00 1.000000 1.166466 1.331369 1.627388
3.332000e+13 0.00 1.000000 1.166879 1.331812 1.627880
3.311000e+13 0.00 1.000000 1.168330 1.333370 1.629607
3.299000e+13 0.00 1.000000 1.169164 1.334265 1.630599
3.281000e+13 0.00 1.000000 1.170421 1.335614 1.632095
3.265000e+13 0.00 1.000000 1.171545 1.336821 1.633432
3.231000e+13 0.00 1.000000 1.173954 1.339406 1.636297
3.180000e+13 0.00 1.000000 1.177620 1.343341 1.640656
3.163000e+13 0.00 1.000000 1.178856 1.344668 1.642126
3.161000e+13 0.00 1.000000 1.179002 1.344824 1.642299
3.139000e+13 0.00 1.000000 1.180615 1.346554 1.644215
3.136000e+13 0.00 1.000000 1.180835 1.346791 1.644478
3.095000e+13 0.00 1.000000 1.183877 1.350054 1.648092
3.067000e+13 0.00 1.000000 1.185980 1.352310 1.650590
3.055000e+13 0.00 1.000000 1.186888 1.353284 1.651668
3.032000e+13 0.00 1.000000 1.188639 1.355162 1.653748
3.024000e+13 0.00 1.000000 1.189251 1.355819 1.654475
2.989000e+13 0.00 1.000000 1.191952 1.358716 1.657682
2.959000e+13 0.00 1.000000 1.194295 1.361229 1.660463
2.880000e+13 0.00 1.000000 1.200593 1.367981 1.667934
2.866000e+13 0.00 1.000000 1.201729 1.369199 1.669282
2.832000e+13 0.00 1.000000 1.204513 1.372184 1.672583
2.827000e+13 0.00 1.000000 1.204926 1.372626 1.673072
2.826000e+13 0.00 1.000000 1.205009 1.372715 1.673170
2.820000e+13 0.00 1.000000 1.205505 1.373247 1.673759
2.796000e+13 0.00 1.000000 1.207502 1.375387 1.676126
2.788000e+13 0.00 1.000000 1.208172 1.376105 1.676920
2.779000e+13 0.00 1.000000 1.208928 1.376916 1.677816
2.703000e+13 0.00 1.000000 1.215424 1.383877 1.685512
2.689000e+13 0.00 1.000000 1.216643 1.385182 1.686955
2.643000e+13 0.00 1.000000 1.220697 1.389525 1.691755
2.636000e+13 0.00 1.000000 1.221321 1.390193 1.692493
2.618000e+13 0.00 1.000000 1.222933 1.391920 1.694402
2.551000e+13 0.00 1.000000 1.229044 1.398465 1.701631
2.522000e+13 0.00 1.000000 1.231744 1.401356 1.704824
2.513000e+13 0.00 1.000000 1.232589 1.402261 1.705823
2.505000e+13 0.00 1.000000 1.233343 1.403068 1.706715
2.495000e+13 0.00 1.000000 1.234289 1.404081 1.707833
2.492000e+13 0.00 1.000000 1.234574 1.404385 1.708170
2.466000e+13 0.00 1.000000 1.237056 1.407043 1.711104
2.463000e+13 0.00 1.000000 1.237345 1.407352 1.711445
2.447000e+13 0.00 1.000000 1.238889 1.409005 1.713270
2.444000e+13 0.00 1.000000 1.239180 1.409316 1.713614
2.435000e+13 0.00 1.000000 1.240055 1.410253 1.714647
2.429000e+13 0.00 1.000000 1.240640 1.410879 1.715339
2.429000e+13 0.00 1.000000 1.240640 1.410879 1.715339
2.421000e+13 0.00 1.000000 1.241423 1.411717 1.716263
2.411000e+13 0.00 1.000000 1.242405 1.412768 1.717424
2.368000e+13 0.00 1.000000 1.246681 1.417345 1.722474
2.344000e+13 0.00 1.000000 1.249105 1.419939 1.725336
2.341000e+13 0.00 1.000000 1.249410 1.420265 1.725696
2.304000e+13 0.00 1.000000 1.253207 1.424327 1.730177
2.247000e+13 0.00 1.000000 1.259190 1.430726 1.737235
2.243000e+13 0.00 1.000000 1.259616 1.431182 1.737737
2.242000e+13 0.00 1.000000 1.259722 1.431296 1.737863
2.235000e+13 0.00 1.000000 1.260470 1.432096 1.738745
2.234000e+13 0.00 1.000000 1.260577 1.432211 1.738871
2.211000e+13 0.00 1.000000 1.263055 1.434860 1.741793
2.209000e+13 0.00 1.000000 1.263272 1.435092 1.742048
2.199000e+13 0.00 1.000000 1.264359 1.436254 1.743330
2.185000e+13 0.00 1.000000 1.265890 1.437892 1.745134
2.174000e+13 0.00 1.000000 1.267100 1.439186 1.746561
2.128000e+13 0.00 1.000000 1.272237 1.444678 1.752613
2.121000e+13 0.00 1.000000 1.273029 1.445525 1.753547
2.113000e+13 0.00 1.000000 1.273938 1.446497 1.754617
2.112000e+13 0.00 1.000000 1.274052 1.446618 1.754751
2.078000e+13 0.00 1.000000 1.277961 1.450796 1.759354
2.078000e+13 0.00 1.000000 1.277961 1.450796 1.759354
2.071000e+13 0.00 1.000000 1.278774 1.451665 1.760311
2.010000e+13 0.00 1.000000 1.285993 1.459380 1.768807
2.010000e+13 0.00 1.000000 1.285993 1.459380 1.768807
2.008000e+13 0.00 1.000000 1.286234 1.459637 1.769090
2.003000e+13 0.00 1.000000 1.286837 1.460281 1.769800
1.997000e+13 0.00 1.000000 1.287563 1.461057 1.770654
1.986000e+13 0.00 1.000000 1.288900 1.462485 1.772226
1.976000e+13 0.00 1.000000 1.290122 1.463791 1.773664
1.962000e+13 0.00 1.000000 1.291845 1.465632 1.775690
1.956000e+13 0.00 1.000000 1.292588 1.466425 1.776563
1.941000e+13 0.00 1.000000 1.294455 1.468420 1.778759
1.938000e+13 0.00 1.000000 1.294831 1.468821 1.779200
1.936000e+13 0.00 1.000000 1.295081 1.469088 1.779495
1.926000e+13 0.00 1.000000 1.296339 1.470431 1.780973
1.925000e+13 0.00 1.000000 1.296465 1.470566 1.781121
1.914000e+13 0.00 1.000000 1.297857 1.472053 1.782757
1.889000e+13 0.00 1.000000 1.301054 1.475467 1.786514
1.877000e+13 0.00 1.000000 1.302605 1.477124 1.788336
1.863000e+13 0.00 1.000000 1.304429 1.479071 1.790478
1.851000e+13 0.00 1.000000 1.306004 1.480752 1.792328
1.848000e+13 0.00 1.000000 1.306399 1.481175 1.792793
1.834000e+13 0.00 1.000000 1.308254 1.483155 1.794971
1.815000e+13 0.00 1.000000 1.310797 1.485870 1.797956
1.812000e+13 0.00 1.000000 1.311201 1.486301 1.798431
1.796000e+13 0.00 1.000000 1.313369 1.488615 1.800975
1.794000e+13 0.00 1.000000 1.313642 1.488906 1.801295
1.788000e+13 0.00 1.000000 1.314461 1.489781 1.802257
1.776000e+13 0.00 1.000000 1.316109 1.491540 1.804191
1.763000e+13 0.00 1.000000 1.317909 1.493460 1.806302
1.763000e+13 0.00 1.000000 1.317909 1.493460 1.806302
1.759000e+13 0.00 1.000000 1.318465 1.494054 1.806955
1.742000e+13 0.00 1.000000 1.320846 1.496595 1.809747
1.718000e+13 0.00 1.000000 1.324251 1.500228 1.813741
1.709000e+13 0.00 1.000000 1.325542 1.501605 1.815254
1.685000e+13 0.00 1.000000 1.329020 1.505316 1.819330
1.685000e+13 0.00 1.000000 1.329020 1.505316 1.819330
1.681000e+13 0.00 1.000000 1.329604 1.505940 1.820016
1.650000e+13 0.00 1.000000 1.334190 1.510831 1.825389
1.643000e+13 0.00 1.000000 1.335239 1.511949 1.826618
1.638000e+13 0.00 1.000000 1.335991 1.512752 1.827498
1.620000e+13 0.00 1.000000 1.338719 1.515661 1.830694
1.617000e+13 0.00 1.000000 1.339177 1.516149 1.831230
1.611000e+13 0.00 1.000000 1.340096 1.517129 1.832306
1.592000e+13 0.00 1.000000 1.343030 1.520258 1.835741
1.589000e+13 0.00 1.000000 1.343496 1.520755 1.836287
1.586000e+13 0.00 1.000000 1.343964 1.521254 1.836835
1.585000e+13 0.00 1.000000 1.344120 1.521420 1.837017
1.582000e+13 0.00 1.000000 1.344589 1.521921 1.837566
1.573000e+13 0.00 1.000000 1.346002 1.523427 1.839220
1.562000e+13 0.00 1.000000 1.347741 1.525281 1.841255
1.561000e+13 0.00 1.000000 1.347900 1.525450 1.841441
1.557000e+13 0.00 1.000000 1.348536 1.526129 1.842185
1.552000e+13 0.00 1.000000 1.349334 1.526979 1.843119
1.551000e+13 0.00 1.000000 1.349494 1.527150 1.843306
1.549000e+13 0.00 1.000000 1.349814 1.527491 1.843680
1.548000e+13 0.00 1.000000 1.349974 1.527662 1.843868
1.546000e+13 0.00 1.000000 1.350295 1.528004 1.844243
1.540000e+13 0.00 1.000000 1.351260 1.529032 1.845372
1.534000e+13 0.00 1.000000 1.352229 1.530065 1.846506
1.533000e+13 0.00 1.000000 1.352391 1.530238 1.846695
1.531000e+13 0.00 1.000000 1.352716 1.530584 1.847075
1.526000e+13 0.00 1.000000 1.353528 1.531450 1.848025
1.519000e+13 0.00 1.000000 1.354671 1.532668 1.849362
1.518000e+13 0.00 1.000000 1.354835 1.532842 1.849553
1.512000e+13 0.00 1.000000 1.355819 1.533892 1.850704
1.509000e+13 0.00 1.000000 1.356313 1.534418 1.851282
1.505000e+13 0.00 1.000000 1.356974 1.535122 1.852054
1.500000e+13 0.00 1.000000 1.357802 1.536004 1.853022
1.495000e+13 0.00 1.000000 1.358633 1.536890 1.853994
1.491000e+13 0.00 1.000000 1.359300 1.537601 1.854774
1.490000e+13 0.00 1.000000 1.359467 1.537779 1.854969
1.483000e+13 0.00 1.000000 1.360640 1.539029 1.856340
1.482000e+13 0.00 1.000000 1.360808 1.539208 1.856537
1.482000e+13 0.00 1.000000 1.360808 1.539208 1.856537
1.470000e+13 0.00 1.000000 1.362834 1.541367 1.858905
1.465000e+13 0.00 1.000000 1.363684 1.542273 1.859898
1.459000e+13 0.00 1.000000 1.364708 1.543364 1.861095
1.455000e+13 0.00 1.000000 1.365393 1.544094 1.861895
1.448000e+13 0.00 1.000000 1.366597 1.545377 1.863302
1.433000e+13 0.00 1.000000 1.369199 1.548148 1.866341
1.433000e+13 0.00 1.000000 1.369199 1.548148 1.866341
1.431000e+13 0.00 1.000000 1.369548 1.548520 1.866749
1.426000e+13 0.00 1.000000 1.370423 1.549452 1.867771
1.426000e+13 0.00 1.000000 1.370423 1.549452 1.867771
1.402000e+13 0.00 1.000000 1.374671 1.553978 1.872732
1.399000e+13 0.00 1.000000 1.375208 1.554549 1.873359
1.391000e+13 0.00 1.000000 1.376645 1.556080 1.875037
1.387000e+13 0.00 1.000000 1.377367 1.556849 1.875879
1.385000e+13 0.00 1.000000 1.377729 1.557234 1.876302
1.385000e+13 0.00 1.000000 1.377729 1.557234 1.876302
1.378000e+13 0.00 1.000000 1.379000 1.558588 1.877785
1.378000e+13 0.00 1.000000 1.379000 1.558588 1.877785
1.377000e+13 0.00 1.000000 1.379182 1.558782 1.877998
1.352000e+13 0.00 1.000000 1.383784 1.563681 1.883367
1.345000e+13 0.00 1.000000 1.385089 1.565071 1.884890
1.340000e+13 0.00 1.000000 1.386026 1.566068 1.885983
1.335000e+13 0.00 1.000000 1.386966 1.567070 1.887080
1.333000e+13 0.00 1.000000 1.387343 1.567472 1.887520
1.332000e+13 0.00 1.000000 1.387532 1.567673 1.887740
1.326000e+13 0.00 1.000000 1.388669 1.568883 1.889066
1.325000e+13 0.00 1.000000 1.388859 1.569085 1.889287
1.316000e+13 0.00 1.000000 1.390576 1.570913 1.891289
1.314000e+13 0.00 1.000000 1.390959 1.571321 1.891736
1.313000e+13 0.00 1.000000 1.391151 1.571525 1.891960
1.302000e+13 0.00 1.000000 1.393273 1.573783 1.894433
1.302000e+13 0.00 1.000000 1.393273 1.573783 1.894433
1.302000e+13 0.00 1.000000 1.393273 1.573783 1.894433
1.281000e+13 0.00 1.000000 1.397377 1.578152 1.899218
1.251000e+13 0.00 1.000000 1.403371 1.584531 1.906201
1.246000e+13 0.00 1.000000 1.404385 1.585610 1.907383
1.245000e+13 0.00 1.000000 1.404589 1.585826 1.907620
1.245000e+13 0.00 1.000000 1.404589 1.585826 1.907620
1.242000e+13 0.00 1.000000 1.405200 1.586477 1.908332
1.237000e+13 0.00 1.000000 1.406222 1.587564 1.909522
1.236000e+13 0.00 1.000000 1.406427 1.587782 1.909761
1.235000e+13 0.00 1.000000 1.406632 1.588001 1.910000
1.234000e+13 0.00 1.000000 1.406838 1.588219 1.910239
1.231000e+13 0.00 1.000000 1.407455 1.588876 1.910958
1.223000e+13 0.00 1.000000 1.409109 1.590635 1.912883
1.221000e+13 0.00 1.000000 1.409524 1.591077 1.913367
1.217000e+13 0.00 1.000000 1.410357 1.591963 1.914337
1.210000e+13 0.00 1.000000 1.411822 1.593522 1.916042
1.203000e+13 0.00 1.000000 1.413296 1.595090 1.917758
1.203000e+13 0.00 1.000000 1.413296 1.595090 1.917758
1.203000e+13 0.00 1.000000 1.413296 1.595090 1.917758
1.199000e+13 0.00 1.000000 1.414142 1.595990 1.918743
1.193000e+13 0.00 1.000000 1.415418 1.597347 1.920227
1.189000e+13 0.00 1.000000 1.416272 1.598256 1.921222
1.185000e+13 0.00 1.000000 1.417130 1.599168 1.922219
1.180000e+13 0.00 1.000000 1.418206 1.600312 1.923472
1.178000e+13 0.00 1.000000 1.418638 1.600772 1.923974
1.178000e+13 0.00 1.000000 1.418638 1.600772 1.923974
1.175000e+13 0.00 1.000000 1.419287 1.601462 1.924730
1.169000e+13 0.00 1.000000 1.420592 1.602849 1.926247
1.168000e+13 0.00 1.000000 1.420810 1.603081 1.926500
1.168000e+13 0.00 1.000000 1.420810 1.603081 1.926500
1.156000e+13 0.00 1.000000 1.423443 1.605881 1.929563
1.149000e+13 0.00 1.000000 1.424992 1.607529 1.931365
1.148000e+13 0.00 1.000000 1.425215 1.607765 1.931623
1.141000e+13 0.00 1.000000 1.426776 1.609426 1.933439
1.140000e+13 0.00 1.000000 1.427000 1.609664 1.933700
1.137000e+13 0.00 1.000000 1.427673 1.610379 1.934482
1.133000e+13 0.00 1.000000 1.428574 1.611337 1.935529
1.132000e+13 0.00 1.000000 1.428799 1.611577 1.935791
1.130000e+13 0.00 1.000000 1.429251 1.612057 1.936317
