# M[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
2.987000e+13 1.192105 1.358879 0.000 1.000000 0.669668 7.601049 8.574299 7.524100
2.918000e+13 1.197538 1.364704 0.000 1.000000 0.668847 7.621222 8.601965 7.544860
2.864000e+13 1.201889 1.369370 0.000 1.000000 0.668192 7.637366 8.624106 7.561474
2.861000e+13 1.202134 1.369632 0.000 1.000000 0.668156 7.638276 8.625357 7.562411
2.816000e+13 1.205834 1.373598 0.000 1.000000 0.667601 7.651998 8.644188 7.576531
2.800000e+13 1.207166 1.375025 0.000 1.000000 0.667402 7.656938 8.650970 7.581612
2.765000e+13 1.210108 1.378178 0.000 1.000000 0.666963 7.667843 8.665940 7.592834
2.760000e+13 1.210531 1.378632 0.000 1.000000 0.666900 7.669410 8.668088 7.594445
2.638000e+13 1.221140 1.389998 0.000 1.000000 0.665328 7.708704 8.722058 7.634868
2.548000e+13 1.229319 1.398758 0.000 1.000000 0.664127 7.738964 8.763644 7.665994
2.535000e+13 1.230527 1.400051 0.000 1.000000 0.663950 7.743431 8.769788 7.670590
2.499000e+13 1.233907 1.403671 0.000 1.000000 0.663456 7.755926 8.786964 7.683437
2.456000e+13 1.238016 1.408070 0.000 1.000000 0.662858 7.771110 8.807847 7.699053
2.425000e+13 1.241028 1.411294 0.000 1.000000 0.662422 7.782235 8.823153 7.710494
2.416000e+13 1.241911 1.412238 0.000 1.000000 0.662294 7.785497 8.827646 7.713850
2.407000e+13 1.242797 1.413186 0.000 1.000000 0.662166 7.788769 8.832149 7.717213
2.377000e+13 1.245776 1.416375 0.000 1.000000 0.661735 7.799765 8.847279 7.728519
2.364000e+13 1.247081 1.417771 0.000 1.000000 0.661547 7.804583 8.853911 7.733474
2.255000e+13 1.258337 1.429813 0.000 1.000000 0.659934 7.846097 8.911077 7.776149
2.205000e+13 1.263703 1.435552 0.000 1.000000 0.659170 7.865870 8.938318 7.796477
2.186000e+13 1.265777 1.437770 0.000 1.000000 0.658876 7.873509 8.948845 7.804328
2.129000e+13 1.272121 1.444553 0.000 1.000000 0.657980 7.896865 8.981039 7.828332
2.115000e+13 1.273708 1.446249 0.000 1.000000 0.657756 7.902705 8.989095 7.834334
2.109000e+13 1.274391 1.446980 0.000 1.000000 0.657660 7.905217 8.992555 7.836915
2.079000e+13 1.277842 1.450668 0.000 1.000000 0.657176 7.917913 9.010067 7.849962
2.069000e+13 1.279004 1.451910 0.000 1.000000 0.657013 7.922186 9.015961 7.854351
2.049000e+13 1.281347 1.454414 0.000 1.000000 0.656685 7.930801 9.027846 7.863203
1.975000e+13 1.290242 1.463918 0.000 1.000000 0.655446 7.963488 9.072954 7.896786
1.913000e+13 1.297981 1.472184 0.000 1.000000 0.654377 7.991900 9.112187 7.925972
1.907000e+13 1.298744 1.472999 0.000 1.000000 0.654271 7.994699 9.116053 7.928847
1.889000e+13 1.301051 1.475462 0.000 1.000000 0.653954 8.003164 9.127748 7.937540
1.889000e+13 1.301051 1.475462 0.000 1.000000 0.653954 8.003164 9.127748 7.937540
1.887000e+13 1.301309 1.475738 0.000 1.000000 0.653919 8.004111 9.129053 7.938515
1.869000e+13 1.303642 1.478230 0.000 1.000000 0.653599 8.012667 9.140870 7.947300
1.827000e+13 1.309185 1.484147 0.000 1.000000 0.652840 8.032990 9.168959 7.968168
1.823000e+13 1.309720 1.484719 0.000 1.000000 0.652767 8.034951 9.171664 7.970182
1.803000e+13 1.312415 1.487596 0.000 1.000000 0.652400 8.044826 9.185314 7.980327
1.796000e+13 1.313366 1.488611 0.000 1.000000 0.652271 8.048311 9.190131 7.983902
1.793000e+13 1.313775 1.489047 0.000 1.000000 0.652215 8.049809 9.192205 7.985443
1.743000e+13 1.320702 1.496440 0.000 1.000000 0.651277 8.075176 9.227280 8.011484
1.724000e+13 1.323392 1.499310 0.000 1.000000 0.650914 8.085022 9.240901 8.021594
1.723000e+13 1.323534 1.499462 0.000 1.000000 0.650894 8.085541 9.241617 8.022126
1.686000e+13 1.328870 1.505155 0.000 1.000000 0.650177 8.105063 9.268625 8.042163
1.659000e+13 1.332846 1.509396 0.000 1.000000 0.649644 8.119602 9.288747 8.057089
1.657000e+13 1.333143 1.509713 0.000 1.000000 0.649604 8.120687 9.290248 8.058200
1.634000e+13 1.336591 1.513390 0.000 1.000000 0.649144 8.133291 9.307697 8.071137
1.626000e+13 1.337802 1.514682 0.000 1.000000 0.648983 8.137715 9.313820 8.075677
1.616000e+13 1.339326 1.516307 0.000 1.000000 0.648780 8.143283 9.321531 8.081390
1.613000e+13 1.339785 1.516797 0.000 1.000000 0.648719 8.144960 9.323849 8.083112
1.601000e+13 1.341631 1.518766 0.000 1.000000 0.648473 8.151703 9.333183 8.090030
1.601000e+13 1.341631 1.518766 0.000 1.000000 0.648473 8.151703 9.333183 8.090030
1.600000e+13 1.341786 1.518931 0.000 1.000000 0.648453 8.152269 9.333969 8.090612
1.596000e+13 1.342405 1.519591 0.000 1.000000 0.648371 8.154530 9.337100 8.092931
1.593000e+13 1.342871 1.520087 0.000 1.000000 0.648309 8.156233 9.339462 8.094678
1.573000e+13 1.345999 1.523422 0.000 1.000000 0.647895 8.167654 9.355281 8.106398
1.573000e+13 1.345999 1.523422 0.000 1.000000 0.647895 8.167654 9.355281 8.106398
1.572000e+13 1.346156 1.523590 0.000 1.000000 0.647874 8.168226 9.356071 8.106986
1.561000e+13 1.347896 1.525445 0.000 1.000000 0.647644 8.174577 9.364870 8.113500
1.551000e+13 1.349490 1.527144 0.000 1.000000 0.647434 8.180395 9.372931 8.119469
1.543000e+13 1.350773 1.528512 0.000 1.000000 0.647264 8.185077 9.379415 8.124272
1.540000e+13 1.351257 1.529027 0.000 1.000000 0.647201 8.186844 9.381868 8.126087
1.538000e+13 1.351579 1.529371 0.000 1.000000 0.647158 8.188018 9.383491 8.127289
1.531000e+13 1.352712 1.530579 0.000 1.000000 0.647009 8.192152 9.389217 8.131530
1.528000e+13 1.353199 1.531098 0.000 1.000000 0.646945 8.193928 9.391679 8.133351
1.527000e+13 1.353362 1.531271 0.000 1.000000 0.646924 8.194523 9.392507 8.133963
1.516000e+13 1.355159 1.533186 0.000 1.000000 0.646688 8.201078 9.401593 8.140689
1.514000e+13 1.355487 1.533536 0.000 1.000000 0.646645 8.202274 9.403248 8.141915
1.498000e+13 1.358130 1.536353 0.000 1.000000 0.646298 8.211912 9.416604 8.151799
1.494000e+13 1.358796 1.537062 0.000 1.000000 0.646211 8.214340 9.419975 8.154291
1.479000e+13 1.361309 1.539741 0.000 1.000000 0.645882 8.223500 9.432667 8.163686
1.465000e+13 1.363680 1.542268 0.000 1.000000 0.645573 8.232141 9.444643 8.172548
1.455000e+13 1.365389 1.544089 0.000 1.000000 0.645350 8.238367 9.453277 8.178934
1.451000e+13 1.366077 1.544821 0.000 1.000000 0.645261 8.240875 9.456758 8.181507
1.424000e+13 1.370770 1.549821 0.000 1.000000 0.644652 8.257966 9.480461 8.199032
1.416000e+13 1.372180 1.551322 0.000 1.000000 0.644469 8.263100 9.487588 8.204298
1.396000e+13 1.375742 1.555117 0.000 1.000000 0.644009 8.276066 9.505569 8.217592
1.382000e+13 1.378269 1.557808 0.000 1.000000 0.643683 8.285261 9.518330 8.227019
1.379000e+13 1.378814 1.558388 0.000 1.000000 0.643613 8.287243 9.521084 8.229049
1.350000e+13 1.384152 1.564072 0.000 1.000000 0.642927 8.306659 9.548031 8.248955
1.349000e+13 1.384338 1.564271 0.000 1.000000 0.642903 8.307335 9.548963 8.249648
1.338000e+13 1.386397 1.566463 0.000 1.000000 0.642639 8.314820 9.559357 8.257321
1.333000e+13 1.387340 1.567466 0.000 1.000000 0.642519 8.318249 9.564122 8.260837
1.326000e+13 1.388665 1.568877 0.000 1.000000 0.642350 8.323064 9.570805 8.265771
1.322000e+13 1.389426 1.569687 0.000 1.000000 0.642252 8.325830 9.574646 8.268604
1.322000e+13 1.389426 1.569687 0.000 1.000000 0.642252 8.325830 9.574646 8.268604
1.300000e+13 1.393656 1.574190 0.000 1.000000 0.641713 8.341198 9.595987 8.284355
1.296000e+13 1.394434 1.575018 0.000 1.000000 0.641615 8.344025 9.599913 8.287254
1.294000e+13 1.394824 1.575433 0.000 1.000000 0.641565 8.345442 9.601881 8.288705
